time,activity,person,end
1491980298469,rowing,p1,1491980303469
1491980303469,sitting,p1,1491980308469
1491980308469,walking,p1,1491980313469
1491980313469,jumping,p1,1491980318469
1491980318469,rowing,p1,1491980323469
1491980323469,sitting,p1,1491980328469
1491980328469,sitting,p1,1491980333469
1491980333469,sitting,p1,1491980338469
1491980338469,walking,p1,1491980343469
1491980343469,rowing,p1,1491980348469
1491980348469,rowing,p1,1491980353469
1491980353469,cycling,p1,1491980358469
1491980358469,cycling,p1,1491980363469
1491980363469,walking,p1,1491980368469
1491980368469,sitting,p1,1491980373469
1491980373469,cycling,p1,1491980378469
1491980378469,sitting,p1,1491980383469
1491980383469,rowing,p1,1491980388469
1491980388469,jumping,p1,1491980393469
1491980393469,cycling,p1,1491980398469
1491980398469,jumping,p1,1491980403469
1491980403469,rowing,p1,1491980408469
1491980408469,rowing,p1,1491980413469
1491980413469,walking,p1,1491980418469
1491980418469,sitting,p1,1491980423469
1491980423469,walking,p1,1491980428469
1491980428469,rowing,p1,1491980433469
1491980433469,jumping,p1,1491980438469
1491980438469,walking,p1,1491980443469
1491980443469,jumping,p1,1491980448469
1491980448469,sitting,p1,1491980453469
1491980453469,rowing,p1,1491980458469
1491980458469,rowing,p1,1491980463469
1491980463469,walking,p1,1491980468469
1491980468469,walking,p1,1491980473469
1491980473469,jumping,p1,1491980478469
1491980478469,cycling,p1,1491980483469
1491980483469,sitting,p1,1491980488469
1491980488469,jumping,p1,1491980493469
1491980493469,jumping,p1,1491980498469
1491980498469,walking,p1,1491980503469
1491980503469,walking,p1,1491980508469
1491980508469,walking,p1,1491980513469
1491980513469,jumping,p1,1491980518469
1491980518469,rowing,p1,1491980523469
1491980523469,cycling,p1,1491980528469
1491980528469,sitting,p1,1491980533469
1491980533469,rowing,p1,1491980538469
1491980538469,cycling,p1,1491980543469
1491980543469,rowing,p1,1491980548469
1491980548469,walking,p1,1491980553469
1491980553469,cycling,p1,1491980558469
1491980558469,walking,p1,1491980563469
1491980563469,rowing,p1,1491980568469
1491980568469,walking,p1,1491980573469
1491980573469,walking,p1,1491980578469
1491980578469,cycling,p1,1491980583469
1491980583469,sitting,p1,1491980588469
1491980588469,sitting,p1,1491980593469
1491980593469,jumping,p1,1491980598469
1491980598469,cycling,p1,1491980603469
1491980603469,jumping,p1,1491980608469
1491980608469,walking,p1,1491980613469
1491980613469,jumping,p1,1491980618469
1491980618469,cycling,p1,1491980623469
1491980623469,jumping,p1,1491980628469
1491980628469,rowing,p1,1491980633469
1491980633469,jumping,p1,1491980638469
1491980638469,walking,p1,1491980643469
1491980643469,jumping,p1,1491980648469
1491980648469,jumping,p1,1491980653469
1491980653469,cycling,p1,1491980658469
1491980658469,walking,p1,1491980663469
1491980663469,rowing,p1,1491980668469
1491980668469,sitting,p1,1491980673469
1491980673469,cycling,p1,1491980678469
1491980678469,cycling,p1,1491980683469
1491980683469,sitting,p1,1491980688469
1491980688469,walking,p1,1491980693469
1491980693469,cycling,p1,1491980698469
1491980698469,rowing,p1,1491980703469
1491980703469,cycling,p1,1491980708469
1491980708469,rowing,p1,1491980713469
1491980713469,jumping,p1,1491980718469
1491980718469,sitting,p1,1491980723469
1491980723469,rowing,p1,1491980728469
1491980728469,jumping,p1,1491980733469
1491980733469,sitting,p1,1491980738469
1491980738469,cycling,p1,1491980743469
1491980743469,walking,p1,1491980748469
1491980748469,cycling,p1,1491980753469
1491980753469,sitting,p1,1491980758469
1491980758469,rowing,p1,1491980763469
1491980763469,sitting,p1,1491980768469
1491980768469,jumping,p1,1491980773469
1491980773469,jumping,p1,1491980778469
1491980778469,sitting,p1,1491980783469
1491980783469,cycling,p1,1491980788469
1491980788469,sitting,p1,1491980793469
1491980793469,cycling,p1,1491980798469
