time,activity,person,end
1491980298469,rowing,p1,1491980303469
1491980318469,rowing,p1,1491980323469
1491980378469,sitting,p1,1491980383469
1491980398469,jumping,p1,1491980403469
1491980403469,rowing,p1,1491980408469
1491980443469,jumping,p1,1491980448469
1491980543469,rowing,p1,1491980548469
1491980563469,rowing,p1,1491980568469
1491980593469,jumping,p1,1491980598469
1491980638469,walking,p1,1491980643469
1491980643469,jumping,p1,1491980648469
1491980663469,rowing,p1,1491980668469
1491980703469,cycling,p1,1491980708469
1491980718469,sitting,p1,1491980723469
1491980733469,sitting,p1,1491980738469
1491980748469,cycling,p1,1491980753469
1491980763469,sitting,p1,1491980768469
1491980778469,sitting,p1,1491980783469
1491980793469,cycling,p1,1491980798469
