time,person,T_xacc,T_yacc,T_zacc,RA_xacc,RA_yacc,RA_zacc,LA_xacc,LA_yacc,LA_zacc,RL_xacc,RL_yacc,RL_zacc,LL_xacc,LL_yacc,LL_zacc
1491980298469,p1,8.3573,0.8344,4.4795,-2.2594,5.1844,9.148,0.56928,-3.4202,9.9877,-3.0307,10.949,2.7858,-2.5694,-10.838,1.5453
1491980298509,p1,8.7746,0.72088,4.2432,-1.884,5.3087,9.496,0.5732,-3.0665,10.378,-2.7449,10.605,2.8669,-1.9101,-10.721,1.4895
1491980298549,p1,8.6707,0.7885,4.2131,-2.0131,4.6791,9.8325,2.3439,-4.3049,10.861,-2.6652,9.7117,3.0421,-1.5952,-10.476,1.3312
1491980298589,p1,8.7885,0.54986,4.3765,-2.4852,5.5748,8.6527,1.6319,-3.5201,9.9346,-2.1291,9.9026,2.73,-1.2584,-10.477,1.0829
1491980298629,p1,9.2441,0.54791,3.9473,-2.8699,5.5657,8.5263,1.0697,-2.7046,10.296,-1.7408,9.605,2.3783,-0.72649,-10.427,1.0322
1491980298669,p1,8.9806,0.39127,4.75,-2.9616,4.3754,8.0319,1.1383,-2.2265,8.9829,-1.3388,9.3564,1.2162,-0.47191,-10.405,0.87969
1491980298709,p1,8.7452,0.5967,3.8617,-3.379,4.2611,7.6157,0.20174,-1.8702,9.2412,-0.94158,10.379,0.85543,-0.21657,-10.115,1.0716
1491980298749,p1,8.7909,0.55372,3.3993,-3.7805,3.6235,7.1315,0.3129,-1.3,9.1645,-1.1614,9.9995,1.8343,-0.066767,-10.033,0.90995
1491980298789,p1,8.7878,0.23996,4.0686,-3.1594,3.8078,7.1167,1.0614,-1.3563,8.7075,-0.44261,9.4048,1.2492,-0.03637,-9.7194,0.80672
1491980298829,p1,8.5621,-0.011768,4.4905,-2.3068,4.2625,8.2832,4.6028,-1.174,15.628,2.4774,6.4038,0.68835,0.17433,-9.3031,1.0953
1491980298869,p1,9.7737,0.27976,3.2483,-0.68903,4.9057,8.1114,-0.49346,-4.0921,6.1888,-3.3607,10.762,2.1644,-0.006124,-9.4951,0.70325
1491980298909,p1,9.8955,0.22405,2.1074,-0.64384,7.3658,8.242,0.099022,-0.71762,7.386,-0.041376,8.3566,1.2058,0.32478,-8.795,0.86014
1491980298949,p1,9.2857,0.83404,2.6961,0.59641,5.5209,8.6762,1.601,-4.0466,7.2857,-0.067269,9.1355,1.4521,0.35401,-9.3938,1.1578
1491980298989,p1,9.7562,0.44222,1.5482,0.3569,3.9815,7.6908,1.4089,-2.7095,6.9515,-0.81285,8.9963,1.7374,0.59375,-9.2071,0.86357
1491980299029,p1,8.6429,0.61542,3.0852,0.15149,2.7743,8.1457,1.2437,-3.5461,8.0638,-0.6625,8.8615,1.8456,0.71338,-9.2143,0.62652
1491980299069,p1,9.5702,0.31921,1.1879,-0.3265,2.933,7.4436,1.3911,-4.4363,8.4678,-0.60612,9.4176,1.636,0.66127,-9.0048,0.59632
1491980299109,p1,11.524,0.55639,0.93573,1.0497,4.0253,7.146,3.4484,-4.6545,7.9771,1.1461,9.0325,2.2791,1.2818,-9.7398,0.59735
1491980299149,p1,10.69,0.59245,1.0042,2.8671,4.9994,8.1774,5.0793,-4.3935,9.3493,1.3036,9.6173,0.65347,1.5669,-9.8408,1.3265
1491980299189,p1,9.6549,-0.46123,1.6759,5.4479,5.5502,9.491,6.0837,-3.3694,9.5032,0.29968,10.265,0.79766,1.205,-11.116,1.063
1491980299229,p1,9.3428,1.2508,-1.6202,6.3294,4.0552,9.7934,6.5903,-3.5675,10.209,-0.7911,10.544,1.3307,1.3718,-9.8611,1.0094
1491980299269,p1,10.086,-0.18167,-0.57202,6.5963,2.6039,10.08,6.5955,-2.2999,10.104,-0.39627,9.6868,2.1798,1.2389,-8.9807,1.4877
1491980299309,p1,9.9303,-0.10645,-0.54288,6.5253,2.7327,9.5358,6.0444,-1.7764,9.514,-0.22231,7.8923,2.6808,0.68534,-8.5826,1.584
1491980299349,p1,10.063,-0.50741,-0.57432,5.9721,3.39,9.9777,5.732,-1.8538,10.18,-1.0079,8.1143,2.6347,0.17525,-8.7803,1.1415
1491980299389,p1,9.7055,-0.16533,-0.18687,5.0348,3.5937,9.5111,5.5563,-1.3028,9.4494,-1.6673,9.5778,1.7796,0.075254,-9.7321,0.016692
1491980299429,p1,9.3779,-0.11818,-0.20397,5.4003,3.5328,9.0611,5.9234,-1.7472,8.5239,-1.8055,9.8365,0.74112,-0.38426,-10.427,-1.5468
1491980299469,p1,10.855,-0.098489,-0.68502,5.6244,3.6702,8.2466,6.3391,-2.1821,7.6332,-1.7324,8.7713,0.8788,-0.42727,-10.005,-0.20171
1491980299509,p1,10.148,-0.6576,-2.0965,5.7603,3.5719,8.5094,6.6476,-1.7642,7.8873,-2.1404,8.9058,2.416,-0.52862,-8.6577,1.1897
1491980299549,p1,9.9502,0.18839,-2.0776,5.3344,2.9334,8.6837,6.401,-1.7568,8.4726,-2.5346,8.7303,2.7535,-0.66266,-8.615,1.9795
1491980299589,p1,10.006,-0.70849,-2.0532,5.4099,2.9304,7.333,6.6657,-2.0569,7.2888,-2.276,9.0485,2.2331,-0.93445,-9.6431,1.5463
1491980299629,p1,10.277,-0.25656,-2.6152,5.2382,3.0107,7.2837,6.1775,-1.6835,7.5878,-1.7868,9.4583,1.5372,-0.7265,-10.216,0.62937
1491980299669,p1,10.467,-0.50675,-1.556,4.8334,2.0569,7.0022,5.4966,-1.0121,7.4729,-1.292,9.1971,1.6975,-0.17215,-10.001,0.28073
