time,activity,person,end
1491979648469,cycling,p1,1491979653469
1491979653469,cycling,p1,1491979658469
1491979658469,walking,p1,1491979663469
1491979663469,walking,p1,1491979668469
1491979668469,rowing,p1,1491979673469
1491979673469,rowing,p1,1491979678469
1491979678469,sitting,p1,1491979683469
1491979683469,rowing,p1,1491979688469
1491979688469,sitting,p1,1491979693469
1491979693469,cycling,p1,1491979698469
1491979698469,walking,p1,1491979703469
1491979703469,cycling,p1,1491979708469
1491979708469,cycling,p1,1491979713469
1491979713469,rowing,p1,1491979718469
1491979718469,sitting,p1,1491979723469
1491979723469,cycling,p1,1491979728469
1491979728469,sitting,p1,1491979733469
1491979733469,rowing,p1,1491979738469
1491979738469,walking,p1,1491979743469
1491979743469,sitting,p1,1491979748469
1491979748469,walking,p1,1491979753469
1491979753469,cycling,p1,1491979758469
1491979758469,cycling,p1,1491979763469
1491979763469,rowing,p1,1491979768469
1491979768469,cycling,p1,1491979773469
1491979773469,cycling,p1,1491979778469
1491979778469,walking,p1,1491979783469
1491979783469,sitting,p1,1491979788469
1491979788469,cycling,p1,1491979793469
1491979793469,walking,p1,1491979798469
1491979798469,cycling,p1,1491979803469
1491979803469,sitting,p1,1491979808469
1491979808469,sitting,p1,1491979813469
1491979813469,sitting,p1,1491979818469
1491979818469,walking,p1,1491979823469
1491979823469,sitting,p1,1491979828469
1491979828469,walking,p1,1491979833469
1491979833469,rowing,p1,1491979838469
1491979838469,walking,p1,1491979843469
1491979843469,cycling,p1,1491979848469
1491979848469,walking,p1,1491979853469
1491979853469,sitting,p1,1491979858469
1491979858469,cycling,p1,1491979863469
1491979863469,walking,p1,1491979868469
1491979868469,rowing,p1,1491979873469
1491979873469,sitting,p1,1491979878469
1491979878469,rowing,p1,1491979883469
1491979883469,sitting,p1,1491979888469
1491979888469,sitting,p1,1491979893469
1491979893469,rowing,p1,1491979898469
1491979898469,cycling,p1,1491979903469
1491979903469,sitting,p1,1491979908469
1491979908469,rowing,p1,1491979913469
1491979913469,sitting,p1,1491979918469
1491979918469,cycling,p1,1491979923469
1491979923469,walking,p1,1491979928469
1491979928469,sitting,p1,1491979933469
1491979933469,walking,p1,1491979938469
1491979938469,rowing,p1,1491979943469
1491979943469,rowing,p1,1491979948469
1491979948469,walking,p1,1491979953469
1491979953469,rowing,p1,1491979958469
1491979958469,sitting,p1,1491979963469
1491979963469,sitting,p1,1491979968469
1491979968469,sitting,p1,1491979973469
1491979973469,walking,p1,1491979978469
1491979978469,rowing,p1,1491979983469
1491979983469,cycling,p1,1491979988469
1491979988469,rowing,p1,1491979993469
1491979993469,cycling,p1,1491979998469
1491979998469,cycling,p1,1491980003469
1491980003469,rowing,p1,1491980008469
1491980008469,walking,p1,1491980013469
1491980013469,rowing,p1,1491980018469
1491980018469,walking,p1,1491980023469
1491980023469,rowing,p1,1491980028469
1491980028469,walking,p1,1491980033469
1491980033469,walking,p1,1491980038469
1491980038469,cycling,p1,1491980043469
1491980043469,rowing,p1,1491980048469
